"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Romania","ROU",3.19,0.71,14.31,7.46,8.78,44.77,42.94,0.6,46.43,0.48,40.35,0.4,45.68,37.02,50.37,43.77,40.71,39.38,0.01,0.01,62.95,0.01,1.81,19.58,44.91,41.28,38.46,47.67,0.65,0.01,41.34,0.47,48,46.02,45.3,23.21,0.47,0.01,15.94,0.01,50.85,41.04,39.6,31.76,40.34,50.04,50.71,42.98,44.57,56.81,100041.76,54.26,0.29521,47.54,14763.84,34.93,0.04357,27.16,5.15,26.84,2e-05,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,61.28,937480.03,61.96,2.76639,61.96,842307.44,63.4,2.48554,63.4,654675.74,65.8,1.93187,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.97,1238363.13,22.58,3.65425,19.29,1266.82,15.67,0.00374,0.01,0,0.01,0,23.43,12270.49,16.37,0.03621,43.59,76.23,46.26,13.55,38.44,11.1,44.33,14.3,36.51,31408.93,40.51,6160.48,32.07,0,70.86,886.39,0.01,100,42.65,87.07,0.01,100,0.01,100,37.72,272.44,45.3,1170.32,0.01,2.5,21.8,145,43.84,54.44,52.56,180.09,32.07,23.79,71.8,29.47,0.65432,29.81,6283,18.07,0.03,21.68,305,0.01,0,0.01,0,0.01,0,42.08,75.81,43.1,20605.48,36.82,660.3,39.7,572.67,18.84,932,13.49,0.004,0.01,0,0.01,0,47.9,-0.12824,53.98,-0.28124,40.51,0.52551,41.57,0.364,41.57,275.18,37.72,637.79,24.27,628.71,41.57,412.33,41.57,20.29,39.15,7.3,46.97,74.21,45.06,71.96,59.22,87.85,61.78,0.58,48.14,2.24,43.84,51.35,38.3,18.09,51.86,1651.36,39.97,311.08,43.06,87,41.86,87,49.12,75,35.89,7843.14,46.17,2.6
"Russian Federation","RUS",26.54,28.35,24.85,11.22,39.19,34.91,38.27,4.12,46.09,0.54,45.41,31.13,56.7,34.1,35.97,26.04,45.41,41.02,33.51,42.75,66.29,2.37,44.51,35.82,49.92,34.96,37.09,33.14,35.81,0.52,28.01,0.55,46.58,42.84,49.07,33.82,0.46,0.01,24.54,39.49,52.95,60.71,32.97,30.27,39.74,40.91,31.63,40.03,16.94,57.91,103639.45,35.09,0.07371,54.04,25157.49,29.2,0.01789,45.48,999.61,32.68,0.00071,39.53,358.28,20.01,0.00025,45.38,252.66,27.15,0.00018,47.17,125.82,30.82,9e-05,49.98,16607.45,36.5,0.01181,50.1,12504.06,37.04,0.00889,49.54,4508.49,36.42,0.00321,73.23,3129378.27,57.04,2.22563,73.23,2801278.13,59.98,1.99228,74.66,2212085.3,61.96,1.57324,43.96,16471.87,35.61,0.01171,34.97,22.77,32.78,2e-05,0.01,0,0.01,0,77.01,9327187.38,50.15,6.63353,47.06,123082.55,28.69,0.08754,41.3,293.19,36.11,0.00021,53.24,436668.69,24.1,0.31056,52.8,72.78,47.2,13.28,30.67,12.2,39.84,15,38.01,28008.56,36.2,7773.45,32.07,0,34.24,-136.47,31.53,96.99,40.68,89.39,0.01,100,26.88,90.1,40.25,227.54,19.49,1660.56,0.01,2.5,30.16,138,45.3,54.93,47.9,160.1,39.43,27.77,64.76,23.45,0.65684,45.91,81435,24.91,0.06,20.99,223,0.01,0,0.01,0,0.01,0,65.42,775.5,48.14,22149.61,38.3,790.99,35.24,526.2,35.89,18559.4,16.78,0.012,43.71,42,35.68,3e-05,62.88,-0.83187,44.58,0.15036,60.57,-0.5423,60.85,-0.72369,26.65,444,40.78,563.85,17.28,712,53.03,24.73,40.78,19.72,38.73,7.2,53.27,14.46,34.91,94.63,36.82,103.83,28.9,18.08,41.95,4.72,26.09,86.4,39.7,21.98,42.84,1084.89,37.72,218.35,17.12,97,17.55,97,16.18,96,39.43,6240.07,52.29,3.4
"Rwanda","RWA",2.7,0.16,45.47,34.11,46.02,59.9,64.45,66.85,65.26,2.58,63.64,34.19,43.48,65.55,67.3,47.23,67.6,48.66,0.01,0.01,27.8,0.01,0.18,0.01,58.84,67.68,76.09,56.94,58.82,66.72,71.02,71.65,68.13,66.11,61.7,52.59,32.82,0.01,32.26,36.24,40.67,46.48,68.41,65.69,62.67,72.77,62.25,64.67,34.5,54.27,81350,67.4,0.60087,53.43,22125.15,48.89,0.16342,36.89,259.95,37.65,0.00192,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,29.74,44906.3,24.55,0.33169,29.74,40351.86,25.21,0.29805,31.01,35099.9,27.17,0.25926,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,48.58,983001.64,62.5,7.26068,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,60.3,69.44,57.41,11.31,71.8,4.4,63.8,11.2,75.09,2163.24,77.11,259.18,65.76,267.03,49.3,42.22,67.82,60.41,51.02,68.83,59.73,37.78,74.53,1.5,77.11,0.7,65.42,764.92,69.44,35.2,73.93,100,68.72,63.61,67.55,283.89,66.11,68.76,33.19,5.43,0.6677,51.44,154566,53.76,1.19,35.11,6060,30.68,0.05,0.01,0,0.01,0,73.35,1637.11,51.4,23717.02,72.82,42742.58,59.75,1401.91,35.57,18283.8,29.25,0.148,36.24,5.6,36.25,4.4e-05,37.72,0.56435,43.84,0.18502,47.44,0.11567,45.54,0.07619,73.35,11.8,63.8,94.8,60.3,127.34,71.56,0.19,65.42,265.38,60.03,35.3,76.75,0.05,87.45,22.18,57.41,91.01,37.44,7.3,82.72,0.15,77.87,6.24,66.11,2092.73,63.8,3077.33,64.11,5563.82,37.44,91,35.84,91,30.6,91,70.41,552.58,64.9,8
"Saint Kitts and Nevis","KNA",2.07,0.53,8.11,6.71,9.04,8.8,41.77,1.74,31.73,0.12,49.29,0.46,37.61,42.68,30.66,0.66,33.67,1.95,2.22,0.01,0.01,3.07,0.15,57.81,45.33,49.66,39.68,34.07,29.68,0.01,0.65,47.41,42.61,33.89,22.13,15.22,0.01,0.01,21.34,0.01,39.29,36.01,41.17,40.64,46.46,33.95,27.69,43.31,0.01,18.54,235.91,58.91,0.41783,16.4,14.56,30.96,0.02579,0.01,0,0.01,0,22.25,16.61,54.09,0.02942,23.91,1.04,41.55,0.00184,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.6,2089.05,100,3.7,38.49,169.38,62.47,0.3,0.01,0,0.01,0,11.43,4347.48,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,33.42,56409.74,100,99.90966,46.61,75.22,44.09,14.01,51.98,8.7,47.44,13.8,40.51,24190.07,38.87,6908.17,32.07,0,36.2,-78.54,25.36,98.51,34.74,94.47,0.01,100,0.01,100,0.01,558.22,42.59,1243.73,32.33,7.66,69.52,105,48.14,55.74,37.72,131.47,43.35,30.87,57.66,15.39,0.48025,11.42,19,20.28,0.04,0.01,0,0.01,0,0.01,0,0.01,0,66.46,854.35,49.77,23085.86,38.58,955.4,46.26,817.24,14.6,100,31.2,0.192,0.01,0,0.01,0,39.15,0.4907,39.43,0.43601,32.45,0.93337,39.97,0.4798,41.04,276.7,41.31,558.75,40.78,333.91,40.51,521.77,47.9,41.28,45.06,12,35.89,475.7,38.01,83.91,28.68,108.08,33.05,12.09,14.41,56.64,44.58,49.86,51.63,169.61,32.07,493.48,49.07,1025.49,0.01,99,0.01,99,0.01,99,41.57,5652.87,27.27,0.6
"Saint Lucia","LCA",2.69,0.46,15.68,8.17,10.52,44.86,48.99,38.51,37.1,0.01,51.88,0.61,37.23,51.29,44.04,45.74,44.81,0.14,41.39,0.01,0.01,2.8,0.11,24.09,40.78,49.84,47.65,59.48,38.32,22.27,48.23,53.44,48.82,20.45,51.16,0.01,0.01,0.01,36.63,0.01,39.55,35.04,50.88,49.92,53.11,45.52,42.6,46.14,45.35,17.04,165.01,37.96,0.09727,0.01,0,0.01,0,0.01,0,0.01,0,34.05,163.15,65.02,0.09616,32.74,22.27,55.33,0.01313,28.94,1.6,43.33,0.00095,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,35.6,2884.13,70.03,1.7,39.11,169.65,49.79,0.1,0.01,0,0.01,0,12.83,4694.58,16.11,2.76713,0.01,0,0.01,0,0.01,0,0.01,0,16.37,1527.71,35.46,0.90048,43.1,76.41,38.58,14.93,53.03,8.5,46.85,14,50.93,12197.02,44.58,4318.48,64.11,243.6,55.18,160.65,31.84,96.89,46.11,83.37,24.06,99.55,20.61,96.6,43.1,177.39,53.98,1016.79,40.41,9.95,70.67,104,50.23,56.73,47.44,158.59,34.91,25.02,56.65,14.35,0.65912,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,52.33,208.92,57.16,25945.17,46.49,7344.15,52.1,942.29,26.52,5000,50.59,2.778,0.01,0,0.01,0,38.87,0.50014,40.25,0.41297,32.82,0.92619,37.42,0.56913,53.27,112.73,48.6,361.36,55.91,167.61,44.58,254.57,56.41,84.82,50,16.6,45.78,95.88,41.31,80.14,49.88,97.03,48.26,2.54,26.09,17.69,61.42,16.36,48.14,94.36,42.59,1051.57,47.9,853.96,44.58,86,40.23,88,52,71,49.54,3084.82,40.53,1.8
"Saint Vincent and the Grenadines","VCT",2.3,0.43,12.27,11.42,10.28,15.74,54.68,13.76,46.87,0.1,55.06,0.62,38.39,45.69,43.56,2.44,36.67,0.12,35.12,0.01,0.01,2.62,0.15,17.38,51.73,48.76,47.59,74.45,39.08,0.5,49.39,37.13,52.33,34.58,56.9,10.68,0.01,0.01,38.39,0.01,41.52,35.49,42.84,43.91,50.69,36.56,51.91,49.5,0.12,13.02,10.23,23.8,0.01008,0.01,0,0.01,0,0.01,0,0.01,0,26.83,48.74,61,0.04801,25.85,2.25,42.62,0.00221,27.65,0.62,37.65,0.00061,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,30.82,721.01,56.28,0.71025,37.28,101.51,49.79,0.1,0.01,0,0.01,0,15.87,7419.93,64.02,7.30921,0.01,0,0.01,0,0.01,0,0.01,0,13.7,224.51,22.06,0.22116,53.03,72.73,50.46,12.65,51.28,8.8,46.37,14.1,50,12807.36,45.3,3993.9,85.59,1332.96,64.76,534.66,36.16,95.15,42.23,87.18,0.01,100,25.42,94.2,41.57,203.37,58.69,928.63,25.31,5.6,54.47,120,52.8,58.12,51.86,175.58,44.82,32.12,56.9,14.53,0.66382,10.04,14,11.37,0.01,0.01,0,0.01,0,0.01,0,0.01,0,58.96,386.47,61.99,27960.18,47.2,7766.57,53.27,1025.8,26.52,5000,55.58,4.568,0.01,0,0.01,0,40.25,0.43885,42.84,0.27271,30.88,0.95971,40.78,0.44636,52.56,129.75,34.91,701.5,42.34,313.37,45.54,211.43,51.63,56.47,49.77,16.4,42.08,189.12,45.54,70.59,25.51,110.69,66.72,0.3,39.7,6.36,52.8,29.75,51.4,167.53,46.97,1306.78,50.23,1144.13,17.12,97,0.01,99,0.01,99,49.3,3134.86,27.27,0.6
"Samoa","WSM",3.15,0.81,12.24,15.38,2.53,47.14,58.21,39.83,50.38,0.13,56.59,0.01,31.61,51.24,41.84,54.82,45.67,47.31,50.25,0.01,0.01,2.95,0.01,33.88,55.54,46.82,56.66,77.94,37.04,34.21,66.71,29.76,54.17,65.76,35.89,0.01,22.34,0.01,0.01,0.01,37.97,26.31,54.64,49.81,49.42,50.51,34.65,51.07,58.85,25.43,1572.96,100,0.82016,27.65,871.23,69.48,0.45427,34.41,123.04,66.71,0.06416,37.51,235.48,68.75,0.12278,35.36,57.27,63.63,0.02986,41.61,39.43,66.71,0.02056,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.13,3260.38,70.03,1.7,46.05,511.3,55.26,0.2666,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,22.41,9406.9,51.21,4.90486,50.93,73.51,60.57,10.88,40.25,10.8,54.46,12.7,57.41,6505.15,55.91,1631.13,81.55,985.77,74.49,1025.47,42.52,91.84,32.26,96.77,25.59,99.2,45.73,35.5,61.99,10.27,71.8,524.18,21.92,4.6,40.4,131,50,56.68,58.69,215.58,64.11,64.45,47.44,8.81,0.64594,0.01,0,0.01,0,18.16,55,27.49,0.03,0.01,0,0.01,0,46.26,119.99,72.82,35474.64,53.98,14925.17,56.41,1247.06,0.01,0,0.01,0,0.01,0,0.01,0,36.82,0.64064,39.15,0.43641,22.13,1.12051,31.28,1.07706,60.85,45.9,49.07,344,52.56,196.28,47.2,131.51,49.77,49.32,49.07,15.8,45.3,119.02,60.57,41.75,46.97,98.8,32.21,12.9,21.32,35.13,60.57,17.21,48.84,110.76,56.65,2280.09,48.14,857.42,52.59,79,53.91,76,71.9,44,54.7,1802.49,38.13,1.5
"San Marino","SMR",0.38,0.03,4.75,2.54,1.89,22.29,34.82,0.58,18.13,0.01,29.04,0.01,31.28,21.44,25.79,26,16.51,2.06,0.01,0.01,0.01,0.01,0.15,0.01,34.57,45.11,32.6,28.93,0.01,0.01,38.42,28.53,32.56,27.18,6.73,0.01,0.01,0.01,0.01,0.01,33.62,29.1,22.57,27.55,15.86,24.45,27.2,16.39,41.23,16.66,143.63,60.14,0.42016,17.13,36.6,44.82,0.10707,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,9.88,2632.17,100,7.7,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,32.45,80.45,36.82,15.28,40.51,10.71,50.23,13.1,33.54,38386.37,31.68,11063.13,32.07,0,26.09,-607.22,0.01,100,0.01,100,0.01,100,0.01,100,31.28,327.22,47.2,1144.28,17.7,3.9,46,125.74,31.28,47.34,33.89,117.31,18.45,21.11,62.58,21.52,0.13715,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,41.31,70.56,19.49,11045.24,37.42,700.99,23.6,272.73,0.01,0,0.01,0,0.01,0,0.01,0,32.07,1.06386,35.24,0.83273,28.2,1.02173,30.03,1.15435,20.45,539.76,24.91,1071.52,31.28,528.08,24.27,5146.98,29.14,5.9,8.63,2,30.46,1420.07,6.73,160.86,71.32,74.96,38.09,6.79,12.55,56.82,42.08,53.75,6.73,2.98,23.6,273.29,27.7,110.41,40.23,89,38.76,89,44.94,79,18.45,14889.37,14.77,0.2
"Sao Tome and Principe","STP",0.48,0.02,11.69,9.7,3.06,53.83,61.35,55.61,55.95,0.01,44.9,0.01,50.64,56.61,51.83,41.47,72.57,0.01,0.13,0.01,0.01,0.01,0.15,0.01,58.7,57.97,67.07,62.09,54.6,51.09,64.43,53.22,38.3,71.32,64.11,0.01,0.01,0.01,0.01,0.01,50.92,50.37,58.72,52.88,58.43,56.89,47.22,56.25,30.58,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,19.06,4.02,31.12,0.00204,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,17.98,14251.84,61.39,7.23758,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,58.05,70.7,59.35,11.01,61.7,6.4,54.46,12.7,63.49,4261.45,70.86,483.2,76.4,501.74,50.46,56.46,51.58,78.23,57.79,47.62,38.07,75.18,68.55,3.2,64.11,7.64,64.76,770.81,41.92,11.9,67.56,108,38.3,50.9,38.3,135.79,71.32,75.6,33.89,5.45,0.67077,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.09,13.54,42.34,20440.19,55.67,16292.19,66.11,1806.82,0.01,0,0.01,0,0.01,0,0.01,0,43.59,0.22585,59.49,-0.62691,42.08,0.51564,60.3,-0.6797,61.13,43.5,56.41,192.4,50.23,220.5,55.67,12.26,58.43,108.15,58.43,31.2,56.16,5.33,63.49,37.88,51.63,96.2,41.99,4.24,37.12,7.79,67.55,10.36,57.92,567.44,54.46,2062.24,56.41,2435.59,26.06,95,25.56,95,42.94,81,63.8,1012.33,82.54,39.62
"Saudi Arabia","SAU",9.64,5.25,17.71,7.32,19.94,38.06,34.15,0.57,47.56,0.58,39.12,4.19,46.49,40.68,44.02,30.96,40.44,26.46,0.01,45.47,23.29,0.14,58.61,47.65,50.06,38.25,28.41,25,0.01,0.01,43.18,24.26,71.56,19.49,77.11,39.81,0.49,0.01,0.43,40.77,42.34,51.04,40.75,43.16,38.29,38.07,50.9,43.39,22.09,32.15,8434.52,27.44,0.02284,26.61,797.44,19.43,0.00216,28.02,6.26,26.84,2e-05,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,51.84,19450.96,42.29,0.05267,48.89,11422.98,42.98,0.03093,46.47,2383.63,41.3,0.00645,31.97,69883.9,17.19,0.18922,31.97,54809.96,17.19,0.1484,30.06,32553.15,17.57,0.08814,26.41,6.25,29.48,2e-05,0.01,0,0.01,0,0.01,0,0.01,0,59.21,2294093.52,43.49,6.21155,58.77,312779.54,50.6,0.84689,71.46,83416.38,74.11,0.22586,57.21,597412.33,39.68,1.61757,46.02,75.35,54.46,11.75,44.82,10.2,32.64,16.1,27.7,47793.31,29.14,11715.97,32.07,0,19.49,-2290.55,0.01,100,0.01,100,0.01,100,0.01,100,41.83,198.49,44.58,1205.15,17.7,3.9,33.26,136,71.8,65.05,71.32,320.06,46.26,34.39,25.51,4.87,0.6984,45.26,79770,35.01,0.23,24.43,606,0.01,0,0.01,0,0.01,0,33.54,29.65,44.58,21254.54,45.3,6410.53,34.58,509.9,18.47,707.2,0.01,0,41.69,27.4,39.88,8.4e-05,42.34,0.27464,42.34,0.30644,58.43,-0.428,44.58,0.16856,41.83,261.2,39.7,581.7,49.77,229.67,37.42,826.75,38.58,13.64,38.01,7.1,36.51,399.93,44.58,74.58,33.89,105.83,63.49,0.48,62.58,0.57,33.19,70.63,42.08,36.4,50.7,1585.79,38.3,237.95,26.06,95,25.56,95,16.18,96,31.28,10631.87,52.29,3.4
"Senegal","SEN",5.42,1.05,27.94,29.72,12.91,56.87,68.11,48.24,54.24,2.06,63.2,0.63,48.2,70.83,61.94,55.47,53.54,0.01,2.37,1.66,44.54,0.01,2,41.3,65.06,80.6,66.64,61.59,51.18,44.17,55.81,42.92,56.79,74.49,37.72,32.1,27.37,0.01,39.9,0.01,46.9,49.53,74.91,72.67,65.27,72.67,52.8,68.21,45.11,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,50.35,1043.41,42.35,0.00642,31.48,19.22,26.35,0.00012,0.01,0,0.01,0,23.1,36.92,20.35,0.00023,22.34,18.59,19.78,0.00011,0.01,0,0.01,0,44,197118.65,45.85,1.21237,44.73,168019.29,46.62,1.0334,42.91,109252.12,43.27,0.67195,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,44.88,712570.94,26.62,4.38264,23.84,6714.61,22.45,0.0413,0.01,0,0.01,0,45.02,207427.19,37.89,1.27577,61.42,68.32,68.92,10.15,82.12,3.2,79.11,8.6,67.18,3397.3,66.11,781.57,63.49,217.06,59.75,269.13,48.46,84.91,54.05,56.78,39.49,70.4,49.41,24.5,62.58,9.33,49.77,1097.21,30.82,7.5,59.76,116,54.22,58.92,59.49,227.19,73.91,78.44,35.89,5.72,0.64779,35.82,16286,28.77,0.1,30.74,3000,24.37,0.02,0.01,0,0.01,0,57.16,312.91,50.46,23432.42,69.54,38280.04,79.55,2510.15,42.84,71282.4,37.16,0.45,0.01,0,0.01,0,44.82,0.04848,49.07,-0.05737,49.07,0.05736,50,-0.19076,78.68,8.8,71.32,54,76.4,59.63,69.12,0.24,68.72,318.06,61.99,43.6,71.8,0.18,67.18,34.05,79.55,65.32,39.04,6.31,59.09,0.75,63.8,14.03,69.54,2787,66.81,3557.64,68.32,7991.44,37.44,91,45.67,84,53.7,69,63.49,1022.43,45.15,2.5
"Serbia","SRB",1.84,0.17,20,22.06,10,36.26,49.38,33.29,39.86,2.12,37.59,0.5,50.4,39.71,39.42,28.73,42.09,44.74,0.01,0.01,55.97,0.01,0.17,0.01,47.25,39.61,45.26,70.17,31.82,28.17,41.72,32.85,37.85,45.06,37.12,42.03,22.58,0.01,25.24,0.01,51.05,49.75,43.98,40.41,35.24,42.79,36.31,39.39,20.95,47.4,43704.18,69.84,0.62557,45.19,11937.82,50.47,0.17087,31.58,66.4,33.63,0.00095,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,46.62,241970.28,65.8,3.46348,46.62,201715.03,66.67,2.88728,47.01,146497.96,68.57,2.09692,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,40.2,517593.06,68.02,7.40865,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,43.84,76.2,50.93,12.55,37.86,11.2,41.44,14.7,43.84,18649.75,46.73,3652.49,62.58,209.87,78.68,1262.94,35.85,95.3,28.25,97.9,21.79,99.8,36.43,66.1,39.7,233.8,43.84,1217.22,17.7,3.9,60.96,115,34.91,48.4,41.04,148.96,30.03,23.43,70.86,29.06,0.64711,41.2,35070,42.88,0.51,25.96,900,19.64,0.01,0.01,0,0.01,0,33.19,26.33,41.57,19807.94,36.2,634.79,39.97,575.78,26.03,4527.2,24.48,0.064,0.01,0,0.01,0,54.94,-0.44555,47.44,0.01908,50.93,-0.09167,48.6,-0.11907,38.87,304.42,49.77,332.28,29.59,552.12,55.18,15.12,34.91,8.4,35.57,5.5,55.67,7.08,25.51,111.86,55.18,94,30.4,16.33,45.54,3.29,34.58,68.14,30.03,7.34,60.03,2588.44,33.89,162.54,17.12,97,17.55,97,30.6,91,44.58,4132.55,39.74,1.7
